monitoring_period,feature,metric_type,csi,drift_level
2024Q1_sim_5,reverse_mortgage,numeric_csi,0.004348793789998015,Low
2024Q1_sim_5,open_end_line_of_credit,numeric_csi,0.004327754516529994,Low
2024Q1_sim_5,derived_msa_md,numeric_csi,0.0021869489937175073,Low
2024Q1_sim_5,derived_ethnicity,categorical_csi,0.0018013577729553004,Low
2024Q2_sim_6,loan_amount,numeric_csi,22.639793198931645,High
2024Q2_sim_6,property_value,numeric_csi,1.7945825339582109,High
2024Q2_sim_6,derived_loan_product_type,categorical_csi,1.7468601573641735,High
2024Q2_sim_6,lien_status,numeric_csi,1.662339799299653,High
2024Q2_sim_6,loan_to_value_ratio,numeric_csi,0.6884269312831088,High
2024Q2_sim_6,loan_purpose,numeric_csi,0.6257016941651979,High
2024Q2_sim_6,income,numeric_csi,0.5422010987951239,High
2024Q2_sim_6,income_band,categorical_csi,0.45626344920145046,High
2024Q2_sim_6,ltv_band,categorical_csi,0.38543387465356094,High
2024Q2_sim_6,loan_type,numeric_csi,0.3055969710194585,High
2024Q2_sim_6,debt_to_income_ratio,categorical_csi,0.0950948859268293,Low
2024Q2_sim_6,derived_msa_md,numeric_csi,0.09238316542405917,Low
2024Q2_sim_6,derived_sex,categorical_csi,0.06087775975540752,Low
2024Q2_sim_6,derived_dwelling_category,categorical_csi,0.05655910540029018,Low
2024Q2_sim_6,county_code,numeric_csi,0.0565104389620196,Low
2024Q2_sim_6,construction_method,numeric_csi,0.05517035508474149,Low
2024Q2_sim_6,census_tract,numeric_csi,0.04980705064680897,Low
2024Q2_sim_6,derived_race,categorical_csi,0.04139898652078167,Low
2024Q2_sim_6,total_units,numeric_csi,0.026218450787105475,Low
2024Q2_sim_6,occupancy_type,numeric_csi,0.024304194042866396,Low
2024Q2_sim_6,manufactured_home_secured_property_type,numeric_csi,0.0051716953636289035,Low
2024Q2_sim_6,business_or_commercial_purpose,numeric_csi,0.005101210410710783,Low
2024Q2_sim_6,derived_ethnicity,categorical_csi,0.004706294576443799,Low
2024Q2_sim_6,open_end_line_of_credit,numeric_csi,0.003004356212701809,Low
2024Q2_sim_6,reverse_mortgage,numeric_csi,0.0029635093790735707,Low
2024Q3_sim_7,loan_amount,numeric_csi,22.639767806433397,High
2024Q3_sim_7,property_value,numeric_csi,2.991087532646477,High
2024Q3_sim_7,derived_loan_product_type,categorical_csi,1.8972971605629736,High
2024Q3_sim_7,lien_status,numeric_csi,1.8680536204906126,High
2024Q3_sim_7,income,numeric_csi,1.1091087548282967,High
2024Q3_sim_7,income_band,categorical_csi,0.9245196458360038,High
2024Q3_sim_7,loan_to_value_ratio,numeric_csi,0.8562204802789893,High
2024Q3_sim_7,loan_purpose,numeric_csi,0.7125077796144066,High
2024Q3_sim_7,ltv_band,categorical_csi,0.5252591676492709,High
2024Q3_sim_7,derived_msa_md,numeric_csi,0.3230394093419064,High
2024Q3_sim_7,loan_type,numeric_csi,0.2325552725421364,Moderate
2024Q3_sim_7,total_units,numeric_csi,0.14409271378175537,Moderate
2024Q3_sim_7,county_code,numeric_csi,0.13755266698510193,Moderate
2024Q3_sim_7,derived_race,categorical_csi,0.12101624470468768,Moderate
2024Q3_sim_7,derived_sex,categorical_csi,0.11718022096983356,Moderate
2024Q3_sim_7,debt_to_income_ratio,categorical_csi,0.09735947307914862,Low
2024Q3_sim_7,census_tract,numeric_csi,0.09720103692415794,Low
2024Q3_sim_7,derived_dwelling_category,categorical_csi,0.08447853643480846,Low
2024Q3_sim_7,construction_method,numeric_csi,0.07868288459634665,Low
2024Q3_sim_7,occupancy_type,numeric_csi,0.028942503010671385,Low
2024Q3_sim_7,derived_ethnicity,categorical_csi,0.005733563966524351,Low
2024Q3_sim_7,business_or_commercial_purpose,numeric_csi,0.004285427739428167,Low
2024Q3_sim_7,manufactured_home_secured_property_type,numeric_csi,0.004276864034214016,Low
2024Q3_sim_7,open_end_line_of_credit,numeric_csi,0.0023524102064962533,Low
2024Q3_sim_7,reverse_mortgage,numeric_csi,0.0023427536505976365,Low
2024Q4_sim_8,loan_amount,numeric_csi,22.639793198931645,High
2024Q4_sim_8,property_value,numeric_csi,4.968132329152212,High
2024Q4_sim_8,income,numeric_csi,2.65661993913147,High
2024Q4_sim_8,derived_loan_product_type,categorical_csi,2.5004829972007863,High
2024Q4_sim_8,lien_status,numeric_csi,2.449910629701793,High
2024Q4_sim_8,income_band,categorical_csi,2.1893205826930107,High
2024Q4_sim_8,loan_purpose,numeric_csi,0.8439770312058448,High
2024Q4_sim_8,loan_to_value_ratio,numeric_csi,0.8107419221480465,High
2024Q4_sim_8,derived_msa_md,numeric_csi,0.5080579077912755,High
2024Q4_sim_8,ltv_band,categorical_csi,0.43816629964256404,High
2024Q4_sim_8,county_code,numeric_csi,0.2612856212404592,High
2024Q4_sim_8,derived_race,categorical_csi,0.2570743633104894,High
2024Q4_sim_8,derived_sex,categorical_csi,0.23157076474900684,Moderate
2024Q4_sim_8,derived_dwelling_category,categorical_csi,0.20660797556785257,Moderate
2024Q4_sim_8,total_units,numeric_csi,0.1495255347229607,Moderate
2024Q4_sim_8,census_tract,numeric_csi,0.13701257499221847,Moderate
2024Q4_sim_8,debt_to_income_ratio,categorical_csi,0.12018588931179282,Moderate
2024Q4_sim_8,occupancy_type,numeric_csi,0.09461672975240412,Low
2024Q4_sim_8,loan_type,numeric_csi,0.06722658694820227,Low
2024Q4_sim_8,construction_method,numeric_csi,0.05130624668837742,Low
2024Q4_sim_8,derived_ethnicity,categorical_csi,0.04244706689492698,Low
2024Q4_sim_8,business_or_commercial_purpose,numeric_csi,0.00047113920128230574,Low
2024Q4_sim_8,manufactured_home_secured_property_type,numeric_csi,0.0004253490245885022,Low
2024Q4_sim_8,reverse_mortgage,numeric_csi,5.95093208291939e-06,Low
2024Q4_sim_8,open_end_line_of_credit,numeric_csi,5.203623625677284e-06,Low
